predio,id,estado_uno,estatus_agosto,idea_final,zona,nombre,demolicion,rehabilitacion,cn_cdh,cn_rest,cn_comercial,costo_alberca,costo_av,costo_estacionamiento,costo_terraza,costo_terreno,cuartos_uso_suelo,camaristas,recepcionistas,gerentes,cost_sevicios_cdh,cost_servicios_rest,cost_servicios_comercial,cost_nom_camarista,cost_nom_recep,cost_nom_geren,cost_nomina_t,cost_imp_benef_nomina,ing_renta_hab,aumento_amenidades,aumento_rehab,aumento_cdh,aumento_rest,aumento_comer,aforo_rest,mesas_rest,nomina_rest_t,costo_imp_benef_nom_rest,ingresos_rest,ingresos_comercial
Predio 14,40,BUENO,POSIBLECOMPRA,AREACOMERCIAL,TRADICIONAL,MIGUEL ALEMAN 237,7397978.263,3904702.758,7063480.286,6236385.243,5879168.575,0,0,0,0,23616686.28,1,1,3,1,9000,6000,6000,120000,432000,720000,1272000,246259.2,240900,0,780940.5516,4591262.186,1559096.311,3821459.574,39,10,1200000,232320,1134000,210000
Predio 15,41,INSERVIBLE,POSIBLECOMPRA,RESTAURANTE,TRADICIONAL,MORELOS 62,12261174.39,,11706788.06,10335986.98,9743947.413,0,22084.972,0,0,1659725.24,10,1,3,1,90000,9600,60000,120000,432000,720000,1272000,246259.2,2409000,1766.79776,0,7609412.236,2583996.745,6333565.818,64,16,1440000,278784,1814400,2100000
Predio 17,70,INSERVIBLE,POSIBLECOMPRA,HOTEL,TRADICIONAL,RESTAURANT LAS MUJERES,0,,0,0,0,0,49381.372,0,0,15576236.56,10,1,3,1,90000,0,60000,120000,432000,720000,1272000,246259.2,2409000,3950.50976,0,0,0,0,0,0,240000,46464,0,2100000
Predio 18,78,NECESITA REPARACIONES MENORES,,HOTEL,DORADA,TORRE PALACIO,427437808.5,225604554.4,408111301,360323692,339684551.9,1957200.506,0,0,3753664,9091712.5,17,1,3,1,153000,37800,102000,120000,432000,720000,1272000,246259.2,4095300,668946.476,45120910.89,265272345.6,90080923.01,220794958.8,250,63,3984000,771302.4,7144200,3570000
Predio 19,82,INSERVIBLE,POSIBLECOMPRA,HOTEL,TRADICIONAL,HOTEL NAPOLES,41069812.28,,39212849.66,34621238.69,32638153.45,587021.5154,12792.336,505905.8782,3035768.64,90962796.09,13,1,3,1,117000,32400,78000,120000,432000,720000,1272000,246259.2,3131700,433125.9485,0,25488352.28,8655309.673,21214799.74,214,54,3384000,655142.4,6123600,2730000
Predio 21,86,INSERVIBLE,POSIBLECOMPRA,HOTEL,TRADICIONAL,SUITES 7 MARES,47420528.71,,45276419.83,39974797.84,37685063.72,0,11462.51,2098553.62,1164849.088,20259060.25,21,1,3,1,189000,37200,126000,120000,432000,720000,1272000,246259.2,5058900,285286.1992,0,29429672.89,9993699.461,24495291.42,247,62,3744000,724838.4,7030800,4410000
Predio 22,86,INSERVIBLE,POSIBLECOMPRA,HOTEL,TRADICIONAL,SUITES 7 MARES,44106585.31,,42112315.65,37181193.02,35051475.03,1015139.63,32936.134,0,1423082.944,32768864.34,14,1,3,1,126000,34800,84000,120000,432000,720000,1272000,246259.2,3372600,297214.1297,0,27373005.18,9295298.256,22783458.77,230,58,3744000,724838.4,6577200,2940000
Predio 23,89,INSERVIBLE,,HOTEL,TRADICIONAL,HOTEL CAMELINAS ACAPULCO,55051146.29,,52562020.69,46407294.55,43749110.61,449268.843,67829.832,1831535.016,1457076.672,21802805.07,24,2,3,1,216000,37800,144000,240000,432000,720000,1392000,269491.2,5781600,365047.1815,0,34165313.45,11601823.64,28436921.89,250,63,3984000,771302.4,7144200,5040000
Predio 24,93,INSERVIBLE,EVALUAR,HOTEL,TRADICIONAL,HOTEL ADOLFO LOPEZ MATEOS 443,19299247.36,,18426636.09,16268977.44,15337099.49,523283.3938,0,0,212489.28,37338485.31,7,1,3,1,63000,15600,42000,120000,432000,720000,1272000,246259.2,1686300,99741.43706,0,11977313.46,4067244.36,9969114.667,101,26,2064000,399590.4,2948400,1470000
Predio 25,95,INSERVIBLE,POSIBLECOMPRA,HOTEL,TRADICIONAL,HOTEL LIDO,56305786.7,,53759932.81,47464937.69,44746172.54,555871.6313,77654.007,1319071.252,0,5711718.26,39,3,3,1,351000,37800,234000,360000,432000,720000,1512000,292723.2,9395100,195118.7654,0,34943956.33,11866234.42,29085012.15,250,63,3984000,771302.4,7144200,8190000
Predio 26,98,NECESITA REPARACIONES MENORES,POSIBLECOMPRA,HOTEL,TRADICIONAL,VIVERO EL ANTURIO,1087318.137,573893.8364,1038155.284,916592.9584,864091.025,0,760240.695,0,0,35222064.15,68,5,3,1,612000,1200,408000,600000,432000,720000,1752000,339187.2,16381200,60819.2556,114778.7673,674800.9344,229148.2396,561659.1663,6,2,1080000,209088,226800,14280000
Predio 29,126,BUENO,,HOTEL,DORADA,NAO VICTORIA 105,35115376.59,18534132.3,33527642.48,29601738.29,27906167.23,708319.7707,0,439929.0376,368975.488,61205006.07,8,1,3,1,72000,27600,48000,120000,432000,720000,1272000,246259.2,1927200,178339.8374,3706826.459,21792967.61,7400434.572,18139008.7,183,46,3024000,585446.4,5216400,1680000
Predio 32,162,INSERVIBLE,,HOTEL,DORADA,CENTRO DE NEGOCIOS SHEL ANABEL,345943078.4,,330301337.4,291624851.1,274920742.3,0,0,0,0,24382301.09,18,1,3,1,162000,37800,108000,120000,432000,720000,1272000,246259.2,4336200,0,0,214695869.3,72906212.76,178698482.5,250,63,3984000,771302.4,7144200,3780000
Predio 33,171,NECESITA REPARACIONES MENORES,ABANDONADO,HOTEL,DORADA,ESTACIONAMIENTO FRENTE A LA DIANA CAZADORA,416570882.2,219868917.5,397735720.4,351163035.4,331048612.6,0,0,0,1450805.376,145000000,31,2,3,1,279000,37800,186000,240000,432000,720000,1392000,269491.2,7467900,145080.5376,43973783.51,258528218.2,87790758.84,215181598.2,250,63,3984000,771302.4,7144200,6510000
Predio 37,199,INSERVIBLE,,HOTEL,DORADA,SE VENDE 465M2,18471657.67,,17636465.69,15571331.68,14679414.49,0,0,0,0,93872734.21,3,1,3,1,27000,14400,18000,120000,432000,720000,1272000,246259.2,722700,0,0,11463702.7,3892832.92,9541619.417,96,24,1800000,348480,2721600,630000
Predio 38,207,INSERVIBLE,,HOTEL,DORADA,BETO BAR/ BAR LA LANGOSTA FELIZ,16200693.8,,15468182.96,13656943.04,12874680.96,0,157047.072,0,0,6142404,12,1,3,1,108000,13200,72000,120000,432000,720000,1272000,246259.2,2890800,12563.76576,0,10054318.92,3414235.761,8368542.626,85,22,1800000,348480,2494800,2520000
Predio 40,219,NECESITA REPARACIONES MENORES,,RESTAURANTE,DORADA,EL FARO,102811467.9,54264585.29,98162869.79,86668532.76,81704207.55,0,0,798330.0335,1118825.408,61275757.03,26,2,3,1,234000,37800,156000,240000,432000,720000,1392000,269491.2,6263400,175748.9435,10852917.06,63805865.36,21667133.19,53107734.91,250,63,3984000,771302.4,7144200,5460000
Predio 41,226,INSERVIBLE,POSIBLECOMPRA,RESTAURANTE,DORADA,LA QUE MANDA,20567071.47,,19637135.81,17337734.24,16344638.49,0,0,0,234042.944,79922302.15,8,1,3,1,72000,16200,48000,120000,432000,720000,1272000,246259.2,1927200,23404.2944,0,12764138.28,4334433.56,10624015.02,107,27,2064000,399590.4,3061800,1680000
Predio 46,259,INSERVIBLE,,HOTEL,DORADA,TACOS AND BEER,9439767.144,,9012950.126,7957582.791,7501776.888,0,0,0,0,24624282.88,5,1,3,1,45000,7800,30000,120000,432000,720000,1272000,246259.2,1204500,0,0,5858417.582,1989395.698,4876154.977,50,13,1200000,232320,1474200,1050000
Predio 49,273,INSERVIBLE,,HOTEL,DORADA,DESCONOCIDO,173747693.2,,165891729.1,146466711.8,138077180.2,0,0,0,0,12730144.07,15,1,3,1,135000,37800,90000,120000,432000,720000,1272000,246259.2,3613500,0,0,107829623.9,36616677.95,89750167.15,250,63,3984000,771302.4,7144200,3150000
